HHID,plotID,org_fert,chem_fert,pesticides,hhlabor,hired_labor,cropID,area_planted,seed_cost,trans_cost,total_value_p_sell,total2_value_p_sell,sell_value_p_sell,gift_value_p_sell,cons_value_p_sell,food_prod_value_p_sell,animal_value_p_sell,seeds_value_p_sell,stored_value_p_sell,farm_capital,season,k,m,l,A,y,y_over_A,lnk,lnm,lnl,lnA,lny,lny_over_A,inflation,ctotal,region
1021000108,1.0,,,,4.0,2.0,BANANA FOOD,0.5,,0.0,45000.0,23.51885096268952,0.0,6.271693590050539,17.24715737263898,0.0,0.0,0.0,0.0,13000.0,1,6.79433472255475,0.0,6.0,0.5,23.51885096268952,90000.0,1.9487339350514625,,1.791759469228055,-0.5978369994009695,3.1578022682099025,11.407564949312402,0.7396366991402477,5577.730694311446,1.0
1021000108,3.0,,,,0.0,0.0,FALLOW,2.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,1,6.79433472255475,0.0,0.0,2.25,0.0,0.0,1.9487339350514625,,,0.8329091232590423,,,0.7396366991402477,5577.730694311446,1.0
1021000807,3.0,,,,0.0,0.0,IMPROVED PASTURES,3.5,,,0.0,,,,,,,,,84000.0,1,,,0.0,3.5,,0.0,,,,1.2669476036971998,,,,,
1021000807,2.0,,,,16.0,14.0,COFFEE ALL,2.0,,,0.0,,,,,,,,,84000.0,1,,,30.0,2.0,,0.0,,,3.4011973816621555,0.7178397935137598,,,,,
1021001107,3.0,,,,14.0,40.0,CASSAVA,1.0,17.509430027407998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,1,4.2022632065779195,17.509430027407998,54.0,1.0,0.0,0.0,1.4878854384687952,2.8627395945062775,3.9889840465642745,0.04879016487901111,,,0.8279065083969802,4990.70116775875,1.0
1021001107,1.0,,,,60.0,20.0,MAIZE,1.0,14.007544021926396,12.139871485669543,125000.0,58.36476675802665,23.34590670321066,11.67295335160533,23.34590670321066,0.0,0.0,0.0,0.0,9000.0,1,4.2022632065779195,14.007544021926396,80.0,1.0,58.36476675802665,125000.0,1.4878854384687952,2.6395960431920678,4.382026634673881,0.04879016487901111,4.066712398832213,11.736069016284437,0.8279065083969802,4990.70116775875,1.0
1021001107,2.0,,,,32.0,22.0,SWEET POTATOES,0.5,14.007544021926396,0.0,116666.66666666666,54.47378230749153,0.0,19.45492225267555,35.018860054815995,0.0,0.0,0.0,0.0,9000.0,1,4.2022632065779195,14.007544021926396,54.0,0.5,54.47378230749153,233333.3333333333,1.4878854384687952,2.6395960431920678,3.9889840465642745,-0.5978369994009695,3.9977195273452617,12.360223325357431,0.8279065083969802,4990.70116775875,1.0
1021002610,2.0,,,,16.0,0.0,SWEET POTATOES,0.25,,0.0,26666.666666666664,13.747223881459607,0.0,0.0,13.747223881459607,0.0,0.0,0.0,0.0,5000.0,1,2.577604477773677,0.0,16.0,0.25,13.747223881459607,106666.66666666666,1.030713172978283,,2.772588722239781,-1.2039728018424092,2.620836904197916,11.5774639861078,0.7498523637230383,2516.1543870235528,1.0
1021002611,2.0,,,,34.0,0.0,SWEET POTATOES,0.30000001192092896,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,1,11.856980597758913,0.0,34.0,0.30000001192092896,0.0,0.0,2.491753184658722,,3.5263605246161616,-1.0498220883101441,,,0.7498523637230383,1112.7003009653406,1.0
1021002804,1.0,,,50.07191041087712,24.0,0.0,CABBAGE,0.5,30.043146246526273,0.0,324642.8571428571,162.55488058388318,158.0394672343309,2.2577066747761556,2.2577066747761556,0.0,0.0,0.0,0.0,39500.0,1,,,,,,649285.7142857142,,,,,,13.383628136538404,0.7720188003778711,5185.246754508789,1.0
1033000301,2.0,,,,12.0,0.0,BANANA BEER,0.5,,0.0,67200.0,31.376898609115127,0.0,0.0,3.268426938449492,28.108471670665633,0.0,0.0,0.0,17500.0,1,8.171067346123731,0.0,12.0,0.5,31.376898609115127,134400.0,2.1278181751209386,,2.4849066497880004,-0.5978369994009695,3.446071909059016,11.808575707071187,0.8279065083969802,1892.6993482426947,1.0
1033000301,1.0,,,7.003772010963198,48.0,15.0,MAIZE,1.0,,0.0,20000.0,9.338362681284265,0.0,0.0,9.338362681284265,0.0,0.0,0.0,0.0,17500.0,1,8.171067346123731,7.003772010963198,63.0,1.0,9.338362681284265,20000.0,2.1278181751209386,1.9464488626321224,4.143134726391533,0.04879016487901111,2.234130935083903,9.903487552536127,0.8279065083969802,1892.6993482426947,1.0
1033000303,1.0,,,,47.0,0.0,,,,0.0,184000.0,99.2381517281303,42.341611404002265,15.084199062675806,15.348834133950822,17.20127963287592,0.0,3.9695260691252123,5.292701425500283,9000.0,1,4.763431282950255,0.0,47.0,,99.2381517281303,,1.607213639941427,,3.8501476017100584,,4.59752253438707,,0.7303728871193533,995.2395760510733,1.0
1033000505,3.0,,,,27.0,28.0,COFFEE ALL,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,1,6.248238460548891,0.0,55.0,0.25,0.0,0.0,1.8677475332310276,,4.007333185232471,-1.2039728018424092,,,0.8042809727532236,2464.112995349389,1.0
1033000505,2.0,,,,10.0,0.0,GROUNDNUTS,0.25,4.806337277345301,0.0,78000.0,37.48943076329334,0.0,4.998590768439112,22.493658457976007,0.0,0.0,9.997181536878225,0.0,13000.0,1,6.248238460548891,4.806337277345301,10.0,0.25,37.48943076329334,312000.0,1.8677475332310276,1.5699353132425051,2.302585092994046,-1.2039728018424092,3.624059046938051,12.65075846679162,0.8042809727532236,2464.112995349389,1.0
1033000506,2.0,,,,19.0,0.0,BANANA FOOD,1.0,,0.0,108000.0,51.90844259532925,8.651407099221542,0.0,43.257035496107704,0.0,0.0,0.0,0.0,111000.0,1,53.35034377853284,0.0,19.0,1.0,51.90844259532925,108000.0,3.981097538772598,,2.9444389791664403,0.04879016487901111,3.9494814473726794,11.589886506106357,0.8042809727532236,1199.0850239521055,1.0
1033000506,5.0,,,,0.0,0.0,FALLOW,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111000.0,1,,,,,,0.0,,,,,,,0.8042809727532236,1199.0850239521055,1.0
1033000509,3.0,,,,12.0,0.0,SWEET POTATOES,0.25,,0.0,12500.0,6.0079215966816255,0.0,0.0,6.0079215966816255,0.0,0.0,0.0,0.0,34000.0,1,16.34154674297402,0.0,12.0,0.25,6.0079215966816255,50000.0,2.8074131546989163,,2.4849066497880004,-1.2039728018424092,1.7930788645567148,10.819778284410283,0.8042809727532236,402.00204987716086,1.0
1033000509,4.0,,,6.248238460548891,14.0,0.0,MAIZE,0.25,,0.0,75000.0,36.04752958008975,24.031686386726502,0.0,9.011882395022438,0.0,0.0,3.0039607983408128,0.0,34000.0,1,16.34154674297402,6.248238460548891,14.0,0.25,36.04752958008975,300000.0,2.8074131546989163,1.8322995777099962,2.6390573296152584,-1.2039728018424092,3.58483833378477,12.611537753638338,0.8042809727532236,402.00204987716086,1.0
1041000207,2.0,,,,36.0,0.0,,,,0.0,74400.0,34.32666465518255,12.872499245693456,0.0,21.454165409489093,0.0,0.0,0.0,0.0,6000.0,1,2.7682794076760118,0.0,36.0,,34.32666465518255,,1.096523148456084,,3.58351893845611,,3.5359224473515893,,0.8378443902919307,1171.8126732692556,1.0
1041000207,1.0,,,,28.0,0.0,,,,0.0,175000.0,80.74148272388368,0.0,11.534497531983382,66.90008568550363,0.0,0.0,2.3068995063966766,0.0,6000.0,1,2.7682794076760118,0.0,28.0,,80.74148272388368,,1.096523148456084,,3.332204510175204,,4.391252479436058,,0.8378443902919307,1171.8126732692556,1.0
1043000402,2.0,,,,90.0,0.0,CASSAVA,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,1,19.589794031079943,0.0,90.0,0.25,0.0,0.0,2.986452032261715,,4.499809670330265,-1.2039728018424092,,,0.7498523637230383,2562.345059265257,1.0
1043000402,4.0,,,,80.0,0.0,BEANS,0.25,,0.0,27500.0,14.176824627755222,0.0,0.0,14.176824627755222,0.0,0.0,0.0,0.0,38000.0,1,19.589794031079943,0.0,80.0,0.25,14.176824627755222,110000.0,2.986452032261715,,4.382026634673881,-1.2039728018424092,2.65160856286467,11.608235644774552,0.7498523637230383,2562.345059265257,1.0
1043000402,3.0,,,,120.0,0.0,SWEET POTATOES,0.25,,0.0,100000.0,51.552089555473536,0.0,10.310417911094708,41.24167164437883,0.0,0.0,0.0,0.0,38000.0,1,19.589794031079943,0.0,120.0,0.25,51.552089555473536,400000.0,2.986452032261715,,4.787491742782046,-1.2039728018424092,3.9425927441802355,12.89921982609012,0.7498523637230383,2562.345059265257,1.0
1043000403,4.0,,,,14.0,0.0,EGGPLANTS,0.10000000149011612,3.2322310465176196,0.0,192647.05882352943,88.95425779281685,80.05883201353517,4.447712889640842,4.447712889640842,0.0,0.0,0.0,0.0,103000.0,1,47.55997111304497,3.2322310465176196,14.0,0.10000000149011612,88.95425779281685,1926470.5595286458,3.866720798622597,1.1731726252688683,2.6390573296152584,-1.8971199699847203,4.488122280226691,14.471200161088158,0.8371777560511098,2668.0682047125874,1.0
1043000403,2.0,,,,31.0,0.0,SWEET POTATOES,0.20000000298023224,,0.0,25000.0,11.543682308991498,0.0,3.847894102997165,7.69578820599433,0.0,0.0,0.0,0.0,103000.0,1,47.55997111304497,0.0,31.0,0.20000000298023224,11.543682308991498,124999.99813735488,3.866720798622597,,3.4339872044851463,-1.3862943462187296,2.446138301081756,11.736069001383276,0.8371777560511098,2668.0682047125874,1.0
1043000403,5.0,,,,3.0,0.0,BANANA SWEET,0.10000000149011612,,0.0,21840.0,10.084560865134973,6.3028505407093585,0.0,3.781710324425615,0.0,0.0,0.0,0.0,103000.0,1,47.55997111304497,0.0,3.0,0.10000000149011612,10.084560865134973,218399.99674558645,3.866720798622597,,1.0986122886681098,-1.8971199699847203,2.3110056270902595,12.294083507951726,0.8371777560511098,2668.0682047125874,1.0
1043000406,3.0,,,,0.0,0.0,FALLOW,1.7999999523162842,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,1,13.403543284423119,0.0,0.0,1.7999999523162842,0.0,0.0,2.612200095440554,,,0.6151856137179857,,,0.7498523637230383,734.6791386729643,1.0
1043000407,2.0,,,,40.0,0.0,SWEET POTATOES,0.5,,0.0,66666.66666666666,34.36805970364902,8.592014925912254,8.592014925912254,17.18402985182451,0.0,0.0,0.0,0.0,14500.0,1,7.4750529855436625,0.0,40.0,0.5,34.36805970364902,133333.3333333333,2.0412869109852276,,3.6888794541139363,-0.5978369994009695,3.537127636072071,11.800607537422009,0.7498523637230383,3067.6586410880077,1.0
1043000407,5.0,,,,38.0,0.0,BEANS,0.25,0.1546562686664206,0.0,25000.0,12.888022388868384,0.0,0.0,12.888022388868384,0.0,0.0,0.0,0.0,14500.0,1,7.4750529855436625,0.1546562686664206,38.0,0.25,12.888022388868384,100000.0,2.0412869109852276,-1.8665502461337917,3.6375861597263857,-1.2039728018424092,2.556298383060345,11.512925464970229,0.7498523637230383,3067.6586410880077,1.0
1043000407,3.0,,,,30.0,0.0,BANANA FOOD,0.5,,0.0,99000.0,51.0365686599188,10.825938806649441,7.73281343332103,32.477816419948326,0.0,0.0,0.0,0.0,14500.0,1,7.4750529855436625,0.0,30.0,0.5,51.0365686599188,198000.0,2.0412869109852276,,3.4011973816621555,-0.5978369994009695,3.932542408326734,12.196022309676673,0.7498523637230383,3067.6586410880077,1.0
1043000407,6.0,,,,0.0,0.0,FALLOW,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14500.0,1,7.4750529855436625,0.0,0.0,0.75,0.0,0.0,2.0412869109852276,,,-0.2231435503828872,,,0.7498523637230383,3067.6586410880077,1.0
1043000409,4.0,,,,10.0,0.0,IRISH POTATOES,0.25,,0.0,12000.0,6.186250746656825,0.0,0.0,3.0931253733284123,0.0,0.0,3.0931253733284123,0.0,96500.0,1,49.74776642103196,0.0,10.0,0.25,6.186250746656825,48000.0,3.9114873847074443,,2.302585092994046,-1.2039728018424092,1.8223292079801445,10.778956289890028,0.7498523637230383,2354.095238296966,1.0
104300040906,4.0,,,16.23309940018773,24.0,10.0,MAIZE,1.0,,0.0,950000.0,428.3734563938429,338.1895708372444,5.636492847287407,73.27440701473628,0.0,0.0,11.272985694574814,0.0,367000.0,1,165.48742999635826,16.23309940018773,34.0,1.0,428.3734563938429,950000.0,5.110256710847327,2.787052330650546,3.5263605246161616,0.04879016487901111,6.059995376789023,13.764217263576723,0.8572807873480497,4130.241590721098,1.0
104300040906,2.0,,,54.1103313339591,18.0,26.0,SUGARCANE,2.0,,676.3791416744888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367000.0,1,,,,,,0.0,,,,,,,0.8572807873480497,4130.241590721098,1.0
104300040906,3.0,,,,14.0,0.0,PINEAPPLES,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367000.0,1,165.48742999635826,0.0,14.0,1.0,0.0,0.0,5.110256710847327,,2.6390573296152584,0.04879016487901111,,,0.8572807873480497,4130.241590721098,1.0
104300040908,3.0,,,,0.0,0.0,FALLOW,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,1,21.240375448544356,0.0,0.0,0.5,0.0,0.0,3.0664626090228544,,,-0.5978369994009695,,,0.8371777560511098,3917.6487272962986,1.0
1043000410,6.0,,,,0.0,0.0,FALLOW,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201500.0,1,93.04207941047147,0.0,0.0,0.75,0.0,0.0,4.535472127962295,,,-0.2231435503828872,,,0.8371777560511098,4280.212701257104,1.0
1043000410,5.0,,,,0.0,0.0,BUSH,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201500.0,1,93.04207941047147,0.0,0.0,0.75,0.0,0.0,4.535472127962295,,,-0.2231435503828872,,,0.8371777560511098,4280.212701257104,1.0
1043000410,2.0,,,5.540967508315919,39.0,7.0,SWEET POTATOES,0.5,,0.0,50000.0,15.39157641198866,0.0,15.39157641198866,0.0,0.0,0.0,0.0,0.0,201500.0,1,93.04207941047147,5.540967508315919,46.0,0.5,15.39157641198866,66666.66666666666,4.535472127962295,1.7121691260015555,3.828641396489095,-0.5978369994009695,2.7338203735335367,11.107460356862063,0.8371777560511098,4280.212701257104,1.0
1043000410,4.0,,,,30.0,0.0,GROUNDNUTS,0.5,,0.0,39000.0,18.00814440202674,0.0,0.0,6.002714800675579,0.0,0.0,12.005429601351159,0.0,201500.0,1,93.04207941047147,0.0,30.0,0.5,18.00814440202674,78000.0,4.535472127962295,,3.4011973816621555,-0.5978369994009695,2.8908241223432016,11.26446410567173,0.8371777560511098,4280.212701257104,1.0
1043000601,2.0,,,,8.0,133.0,CASSAVA,0.5,,0.0,223611.11111111112,107.47504189619352,75.23252932733547,10.747504189619352,21.495008379238705,0.0,0.0,0.0,0.0,18000.0,1,,,,,,447222.22222222225,,,,,,13.010810891498581,0.8042809727532236,3401.637144668364,1.0
1043000604,3.0,,,,10.0,2.0,YAM,0.25,,0.0,9300.0,4.46989366793113,0.0,0.0,4.46989366793113,0.0,0.0,0.0,0.0,27000.0,1,12.977110648832312,0.0,12.0,0.25,4.46989366793113,37200.0,2.5804115350847536,,2.4849066497880004,-1.2039728018424092,1.4973646204076698,10.524064040261237,0.8042809727532236,817.8463511130764,1.0
1043000607,2.0,,,,0.0,0.0,FALLOW,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,1,7.690139643752481,0.0,0.0,2.0,0.0,0.0,2.068835414741966,,,0.7178397935137598,,,0.8042809727532236,285.1599906648967,1.0
1043000805,2.0,,,,80.0,0.0,SWEET POTATOES,0.25,,0.0,33333.33333333333,17.18402985182451,0.0,2.1480037314780636,15.036026120346449,0.0,0.0,0.0,0.0,6500.0,1,3.3508858211057797,0.0,80.0,0.25,17.18402985182451,133333.3333333333,1.2743414787610716,,4.382026634673881,-1.2039728018424092,2.8439804555121255,11.800607537422009,0.7498523637230383,2290.150026412356,1.0
1043000806,3.0,,,,42.0,3.0,SWEET POTATOES,1.0,,0.0,133333.3333333333,61.51732017057804,0.0,7.689665021322255,53.827655149255776,0.0,0.0,0.0,0.0,135000.0,1,62.28628667271027,0.0,45.0,1.0,61.51732017057804,133333.3333333333,4.135354481269064,,3.8066624897703196,0.04879016487901111,4.119318763952416,11.800607537422009,0.8378443902919307,3598.3941260577917,1.0
1043000807,2.0,,,,40.0,0.0,BEANS,0.12999999523162842,3.691039210234682,0.0,200000.0,92.27598025586705,0.0,18.455196051173413,69.2069851919003,0.0,0.0,4.613799012793353,0.0,19000.0,1,8.766218124307372,3.691039210234682,40.0,0.12999999523162842,92.27598025586705,1538461.5948919735,2.196299464907072,1.3059080471923792,3.6888794541139363,-1.7147984504436686,4.5247838720605795,14.24629351073651,0.8378443902919307,834.7285173945734,1.0
1043000808,5.0,,,,90.0,0.0,YAM,0.05000000074505806,,0.0,93000.0,42.908330818978186,0.0,0.0,42.908330818978186,0.0,0.0,0.0,0.0,97000.0,1,44.753850424095525,0.0,90.0,0.05000000074505806,42.908330818978186,1859999.9722838406,3.8062026093301187,,4.499809670330265,-2.3025850780928847,3.7590659986657995,14.436087030788222,0.8378443902919307,2607.041896335725,1.0
1043000808,4.0,,,,45.0,0.0,CABBAGE,0.5,18.455196051173413,0.0,1082142.857142857,499.2789645987092,499.2789645987092,0.0,0.0,0.0,0.0,0.0,0.0,97000.0,1,44.753850424095525,18.455196051173413,45.0,0.5,499.2789645987092,2164285.714285714,3.8062026093301187,2.9153459596264795,3.8066624897703196,-0.5978369994009695,6.2131649868348,14.58760094086434,0.8378443902919307,2607.041896335725,1.0
1043000808,2.0,,,,89.0,0.0,SWEET POTATOES,0.20000000298023224,,0.0,40000.0,18.455196051173413,0.0,0.0,18.455196051173413,0.0,0.0,0.0,0.0,97000.0,1,44.753850424095525,0.0,89.0,0.20000000298023224,18.455196051173413,199999.99701976782,3.8062026093301187,,4.48863636973214,-1.3862943462187296,2.9153459596264795,12.206072630629013,0.8378443902919307,2607.041896335725,1.0
1043000808,6.0,,,,74.0,0.0,OTHER,0.30000001192092896,4.613799012793353,0.0,120000.0,55.365588153520235,55.365588153520235,0.0,0.0,0.0,0.0,0.0,0.0,97000.0,1,44.753850424095525,4.613799012793353,74.0,0.30000001192092896,55.365588153520235,399999.9841054287,3.8062026093301187,1.5290515985065891,4.30406509320417,-1.0498220883101441,4.013958248294589,12.89921978635369,0.8378443902919307,2607.041896335725,1.0
1043000808,3.0,,,,60.0,0.0,SUGARCANE,0.05000000074505806,,0.0,18333.333333333332,8.45863152345448,8.45863152345448,0.0,0.0,0.0,0.0,0.0,0.0,97000.0,1,44.753850424095525,0.0,60.0,0.05000000074505806,8.45863152345448,366666.6612029076,3.8062026093301187,,4.0943445622221,-2.3025850780928847,2.1351874020769044,12.812208434199329,0.8378443902919307,2607.041896335725,1.0
1051000109,1.0,,,23.34590670321066,5.0,45.0,MAIZE,1.0,7.003772010963198,0.0,50000.0,23.34590670321066,0.0,3.501886005481599,19.844020697729064,0.0,0.0,0.0,0.0,56000.0,1,,,,,,50000.0,,,,,,10.819778284410283,0.8279065083969802,6391.922488085453,
