HHID,plotID,A,animal_value_p_sell,area_planted,chem_fert,cons_value_p_sell,cropID,farm_capital,food_prod_value_p_sell,gift_value_p_sell,hhlabor,hired_labor,k,l,lnA,lnk,lnl,lnm,lny,lny_over_A,m,org_fert,pesticides,season,seed_cost,seeds_value_p_sell,sell_value_p_sell,stored_value_p_sell,total2_value_p_sell,total_value_p_sell,trans_cost,y,y_over_A,inflation,region
H00102-04-01,2.0,0.5,0.0,0.5,,21.420642295681553,310.0,19000.0,0.0,0.0,61.0,0.0,6.708662811247015,61.0,-0.6931471805599453,1.903399648150481,4.110873864173311,,3.4210300113314585,12.0629718018895,0.0,,,1,,9.180275790708338,0.0,0.0,30.60091808638989,86666.66666666666,0.0,30.60091808638989,173333.3333333333,1.0948123174730158,1
H00102-04-01,3.0,0.30000001192092896,0.0,0.30000001192092896,,24.71612614669953,620.0,19000.0,0.0,0.0,48.0,0.0,6.708662811247015,48.0,-1.2039727645895069,1.903399648150481,3.871201010907891,,3.612921019141564,12.765688393729167,0.0,,,1,,0.0,12.358063073349765,0.0,37.0741892200493,105000.0,0.0,37.0741892200493,349999.9860922501,1.0948123174730158,1
H00104-04-01,1.0,0.125,0.0,0.125,,3.7746239892105695,620.0,11000.0,0.0,0.0,37.0,0.0,3.954367988696787,37.0,-2.0794415416798357,1.374820787867789,3.6109179126442243,,1.328300772232896,11.33857207782545,0.0,,,1,,0.0,0.0,0.0,3.7746239892105695,10500.0,0.0,3.7746239892105695,84000.0,1.0753197970037849,1
H00104-04-01,2.0,0.125,0.0,0.125,,0.0,630.0,11000.0,0.0,0.0,20.0,0.0,3.954367988696787,20.0,-2.0794415416798357,1.374820787867789,2.995732273553991,,,,0.0,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0753197970037849,1
H02110-04-01,2.0,1.0,0.0,1.0,,25.153370675763476,620.0,10000.0,0.0,0.0,0.0,0.0,3.5933386679662105,0.0,0.0,1.2790817614033492,,,4.4777548789540305,12.409013489526863,0.0,,,1,,0.0,62.88342668940868,0.0,88.03679736517216,245000.0,17.966693339831053,88.03679736517216,245000.0,1.0757810432021624,1
H02113-04-01,2.0,0.5,0.0,0.5,,0.0,630.0,11000.0,0.0,0.0,12.0,15.0,3.952672534762832,27.0,-0.6931471805599453,1.3743919412076742,3.295836866004329,,5.661108396077231,14.28551418721001,0.0,,,1,,0.0,287.46709343729685,0.0,287.46709343729685,800000.0,0.0,287.46709343729685,1600000.0,1.0757810432021624,1
H02113-04-01,3.0,0.5,0.0,0.5,,0.0,510.0,11000.0,0.0,0.0,10.0,12.0,3.952672534762832,22.0,-0.6931471805599453,1.3743919412076742,3.091042453358316,,5.254792586088754,13.879198377221533,0.0,,,1,,0.0,191.4817657533015,0.0,191.4817657533015,532879.8185941044,0.0,191.4817657533015,1065759.6371882088,1.0757810432021624,1
H02113-04-01,4.0,0.25,0.0,0.25,,0.0,640.0,11000.0,0.0,0.0,10.0,10.0,3.952672534762832,20.0,-1.3862943611198906,1.3743919412076742,2.995732273553991,,3.556349046413105,12.873902018105829,0.0,,,1,,0.0,35.035052012670555,0.0,35.035052012670555,97500.0,0.0,35.035052012670555,390000.0,1.0757810432021624,1
H02113-04-01,5.0,1.0,0.0,1.0,,0.0,310.0,11000.0,0.0,0.0,9.0,6.0,3.952672534762832,15.0,0.0,1.3743919412076742,2.70805020110221,,4.5371782994248315,12.468436909997665,0.0,,,1,,0.0,93.42680536712147,0.0,93.42680536712147,260000.0,0.0,93.42680536712147,260000.0,1.0757810432021624,1
H02113-04-01,6.0,1.0,0.0,1.0,,0.0,210.0,11000.0,0.0,0.0,10.0,10.0,3.952672534762832,20.0,0.0,1.3743919412076742,2.995732273553991,,5.1502827723112405,13.081541382884074,0.0,,,1,,0.0,172.48025606237812,0.0,172.48025606237812,480000.0,0.0,172.48025606237812,480000.0,1.0757810432021624,1
