,hh,HHID_old,region,urban,year,month,sregion,inflation
0,H00101-04-01,1013000201.0,1,0,2013,12,2,1.0700411330335953
1,H00102-04-01,1013000202.0,1,0,2014,10,2,1.0948123174730158
2,H00104-04-01,1013000204.0,1,1,2014,6,2,1.0753197970037849
3,H00110-04-01,1013000210.0,1,0,2013,12,2,1.0700411330335953
4,H00208-04-01,1021000108.0,1,1,2014,3,1,1.085526134477244
5,H00209-04-01,1021000109.0,1,1,2014,3,1,1.085526134477244
6,H00211-04-01,1021000111.0,1,1,2014,3,1,1.085526134477244
7,H00213-04-01,1021000113.0,1,1,2014,3,1,1.085526134477244
8,H00301-04-01,1021000201.0,1,1,2014,3,1,1.085526134477244
9,H00302-04-01,1021000202.0,1,1,2014,4,1,1.0965546293128212
10,H00303-04-01,1021000203.0,1,1,2013,10,1,1.0757810432021624
11,H00304-04-01,1021000204.0,1,1,2014,4,1,1.0965546293128212
12,H00307-04-01,1021000207.0,1,1,2013,10,1,1.0757810432021624
13,H00312-04-01,1021000212.0,1,1,2014,4,1,1.0965546293128212
14,H00313-04-01,1021000213.0,1,1,2014,4,1,1.0965546293128212
15,H00606-04-01,1021000506.0,1,1,2014,7,1,1.0747256362995772
16,H00704-04-01,1021000604.0,1,1,2014,2,1,1.0731904059908903
17,H00707-04-01,1021000607.0,1,1,2014,8,1,1.0868319920274512
18,H00710-04-01,1021000610.0,1,1,2014,2,1,1.0731904059908903
19,H00712-04-01,1021000612.0,1,1,2014,2,1,1.0731904059908903
20,H00801-04-01,1021000701.0,1,1,2013,10,1,1.0757810432021624
21,H00802-04-01,1021000702.0,1,1,2013,10,1,1.0757810432021624
22,H00803-04-01,1021000703.0,1,1,2014,3,1,1.085526134477244
23,H00805-04-01,1021000705.0,1,1,2013,10,1,1.0757810432021624
24,H00809-04-01,1021000709.0,1,1,2013,10,1,1.0757810432021624
25,H00810-04-02,,1,1,2014,3,1,1.085526134477244
26,H00810-04-03,,1,1,2014,3,1,1.085526134477244
27,H00811-04-01,1021000711.0,1,1,2013,10,1,1.0757810432021624
28,H01209-04-01,1021001109.0,1,1,2014,1,1,1.0693649877067413
29,H01209-04-02,102100110901.0,1,1,2014,7,1,1.0747256362995772
30,H01209-04-03,102100110903.0,1,1,2014,7,1,1.0747256362995772
31,H01210-04-01,1021001110.0,1,1,2014,1,1,1.0693649877067413
32,H01401-04-01,1021001301.0,1,1,2014,3,1,1.085526134477244
33,H01402-04-01,1021001302.0,1,1,2014,3,1,1.085526134477244
34,H01406-04-01,1021001306.0,1,1,2014,3,1,1.085526134477244
35,H01409-04-01,1021001309.0,1,1,2014,3,1,1.085526134477244
36,H01601-04-01,1021001501.0,1,1,2013,11,1,1.0687510235353679
37,H01604-04-01,1021001504.0,1,1,2013,11,1,1.0687510235353679
38,H01605-04-01,1021001505.0,1,1,2014,6,1,1.0753197970037849
39,H01607-04-01,1021001507.0,1,1,2014,6,1,1.0753197970037849
40,H01612-04-01,1021001512.0,1,1,2014,6,1,1.0753197970037849
41,H01801-04-01,1021001701.0,1,1,2014,1,1,1.0693649877067413
42,H01806-04-01,1021001706.0,1,1,2014,1,1,1.0693649877067413
43,H01806-04-02,2102100170601.0,1,0,2014,9,2,1.0904529147205702
44,H01809-04-01,1021001709.0,1,1,2014,1,1,1.0693649877067413
45,H01813-04-01,1021001713.0,1,1,2014,7,1,1.0747256362995772
46,H02108-04-01,1021002008.0,1,1,2013,10,1,1.0757810432021624
47,H02110-04-01,1021002010.0,1,1,2013,10,1,1.0757810432021624
48,H02111-04-01,1021002011.0,1,1,2014,4,1,1.0965546293128212
49,H02113-04-01,1021002013.0,1,1,2013,10,1,1.0757810432021624
50,H02203-04-01,1021002103.0,1,1,2013,11,1,1.0687510235353679
51,H02205-04-01,1021002105.0,1,1,2014,6,1,1.0753197970037849
52,H02206-04-01,1021002106.0,1,1,2013,12,1,1.0700411330335953
53,H02207-04-01,1021002107.0,1,1,2013,12,1,1.0700411330335953
54,H02304-04-01,1021002204.0,1,0,2013,12,2,1.0700411330335953
55,H02305-04-01,1021002205.0,1,1,2013,12,1,1.0700411330335953
56,H02310-04-01,1021002210.0,1,1,2014,6,1,1.0753197970037849
57,H02401-04-01,1021002301.0,1,0,2014,1,2,1.0693649877067413
58,H02407-04-01,1021002307.0,1,1,2014,1,1,1.0693649877067413
59,H02409-04-01,1021002309.0,1,1,2014,1,1,1.0693649877067413
60,H02412-04-01,1021002312.0,1,1,2014,1,1,1.0693649877067413
61,H02507-04-01,1021002407.0,1,1,2014,2,1,1.0731904059908903
62,H02601-04-01,1021002501.0,1,1,2014,3,1,1.085526134477244
63,H02601-04-02,2102100250103.0,1,1,2014,4,1,1.0965546293128212
64,H02602-04-01,1021002502.0,1,1,2014,3,1,1.085526134477244
65,H02608-04-01,1021002508.0,1,1,2014,3,1,1.085526134477244
66,H02608-04-02,,1,1,2014,10,1,1.0948123174730158
67,H02609-04-01,1021002509.0,1,1,2014,3,1,1.085526134477244
68,H02703-04-02,102100260304.0,1,1,2013,10,1,1.0757810432021624
69,H02705-04-01,1021002605.0,1,1,2013,10,1,1.0757810432021624
70,H02705-04-02,,1,1,2014,7,2,1.0747256362995772
71,H02706-04-01,1021002606.0,1,1,2013,10,1,1.0757810432021624
72,H02710-04-01,1021002610.0,1,1,2013,10,1,1.0757810432021624
73,H02711-04-01,1021002611.0,1,1,2013,10,1,1.0757810432021624
74,H02711-04-02,,1,1,2013,10,1,1.0757810432021624
75,H02711-04-03,,1,1,2013,10,2,1.0757810432021624
76,H02802-04-01,1021002702.0,1,1,2013,12,1,1.0700411330335953
77,H02803-04-01,1021002703.0,1,1,2013,12,1,1.0700411330335953
78,H02811-04-01,1021002711.0,1,1,2013,12,1,1.0700411330335953
79,H03001-04-01,1021002901.0,1,0,2014,1,2,1.0693649877067413
80,H03003-04-01,1021002903.0,1,1,2014,1,1,1.0693649877067413
81,H03005-04-01,1021002905.0,1,1,2014,1,1,1.0693649877067413
82,H03006-04-01,1021002906.0,1,1,2014,1,1,1.0693649877067413
83,H03010-04-01,1021002910.0,1,1,2014,1,1,1.0693649877067413
84,H03401-04-01,1021003301.0,1,1,2013,11,1,1.0687510235353679
85,H03408-04-01,1021003308.0,1,0,2014,10,2,1.0948123174730158
86,H03409-04-01,1021003309.0,1,1,2014,6,1,1.0753197970037849
87,H03409-04-02,2102100330903.0,1,1,2014,10,2,1.0948123174730158
88,H03410-04-01,1021003310.0,1,1,2014,6,1,1.0753197970037849
89,H03410-04-02,,1,1,2014,6,1,1.0753197970037849
90,H03503-04-01,1021003403.0,1,1,2013,12,1,1.0700411330335953
91,H03511-04-01,1021003411.0,1,1,2013,12,1,1.0700411330335953
92,H03512-04-01,1021003412.0,1,1,2013,12,1,1.0700411330335953
93,H03515-04-01,1021003415.0,1,1,2013,12,1,1.0700411330335953
94,H03601-04-01,1033000301.0,1,0,2013,9,3,1.0759212825732265
95,H03602-04-04,,1,0,2013,9,3,1.0759212825732265
96,H03603-04-05,,1,0,2014,3,3,1.085526134477244
97,H03604-04-04,2103300030402.0,1,0,2014,3,3,1.085526134477244
98,H03604-04-08,,1,0,2014,3,3,1.085526134477244
99,H03604-04-09,,1,0,2014,3,3,1.085526134477244
100,H03605-04-02,,1,0,2014,3,3,1.085526134477244
101,H03607-04-01,1033000307.0,1,0,2014,3,3,1.085526134477244
102,H03608-04-01,1033000308.0,1,0,2013,9,3,1.0759212825732265
103,H03704-04-01,1033000504.0,1,0,2014,1,3,1.0693649877067413
104,H03705-04-01,1033000505.0,1,0,2014,1,3,1.0693649877067413
105,H03706-04-01,1033000506.0,1,0,2014,1,3,1.0693649877067413
106,H03707-04-01,1033000507.0,1,0,2014,7,3,1.0747256362995772
107,H03707-04-02,,1,1,2014,7,2,1.0747256362995772
108,H03709-04-01,1033000509.0,1,0,2014,1,3,1.0693649877067413
109,H03711-04-02,103300051102.0,1,0,2014,7,3,1.0747256362995772
110,H03711-04-03,2103300051102.0,1,0,2014,7,3,1.0747256362995772
111,H03711-04-04,3103300051105.0,1,0,2014,7,3,1.0747256362995772
112,H03804-04-01,1041000204.0,1,1,2013,11,3,1.0687510235353679
113,H03807-04-01,1041000207.0,1,1,2013,11,3,1.0687510235353679
114,H03809-04-01,1041000209.0,1,1,2014,6,3,1.0753197970037849
115,H03810-04-01,1041000210.0,1,1,2014,6,3,1.0753197970037849
116,H03811-04-01,1041000211.0,1,1,2014,6,3,1.0753197970037849
117,H03813-04-01,1041000213.0,1,1,2013,11,3,1.0687510235353679
118,H03901-04-01,1043000401.0,1,0,2013,10,3,1.0757810432021624
119,H03902-04-01,1043000402.0,1,0,2013,10,3,1.0757810432021624
120,H03903-04-01,1043000403.0,1,0,2013,10,3,1.0757810432021624
121,H03906-04-01,1043000406.0,1,0,2013,10,3,1.0757810432021624
122,H03907-04-01,1043000407.0,1,0,2013,10,3,1.0757810432021624
123,H03908-04-01,1043000408.0,1,0,2014,4,3,1.0965546293128212
124,H03909-04-01,1043000409.0,1,0,2014,4,3,1.0965546293128212
125,H03909-04-02,104300040906.0,1,0,2014,4,3,1.0965546293128212
126,H03910-04-01,1043000410.0,1,0,2014,4,3,1.0965546293128212
127,H04001-04-01,1043000601.0,1,0,2014,8,3,1.0868319920274512
128,H04002-04-01,1043000602.0,1,0,2014,8,3,1.0868319920274512
129,H04003-04-01,1043000603.0,1,0,2014,8,3,1.0868319920274512
130,H04003-04-03,104300060305.0,1,1,2014,8,1,1.0868319920274512
131,H04004-04-01,1043000604.0,1,1,2014,2,3,1.0731904059908903
132,H04005-04-01,1043000605.0,1,0,2014,8,3,1.0868319920274512
133,H04006-04-01,1043000606.0,1,0,2014,2,3,1.0731904059908903
134,H04007-04-01,1043000607.0,1,0,2014,2,3,1.0731904059908903
135,H04009-04-01,1043000609.0,1,0,2014,2,3,1.0731904059908903
136,H04010-04-01,1043000610.0,1,0,2014,2,3,1.0731904059908903
137,H04010-04-02,,1,0,2014,8,3,1.0868319920274512
138,H04011-04-01,1043000611.0,1,1,2014,8,2,1.0868319920274512
139,H04011-04-02,104300061103.0,1,1,2014,8,2,1.0868319920274512
140,H04201-04-01,1163001101.0,1,0,2014,3,3,1.085526134477244
141,H04202-04-01,1163001102.0,1,1,2014,3,3,1.085526134477244
142,H04203-04-01,1163001103.0,1,0,2014,3,3,1.085526134477244
143,H04204-04-01,1163001104.0,1,0,2013,10,3,1.0757810432021624
144,H04205-04-01,1163001105.0,1,0,2013,9,3,1.0759212825732265
145,H04206-04-01,1163001106.0,1,0,2013,10,3,1.0757810432021624
146,H04207-04-01,1163001107.0,1,0,2013,9,3,1.0759212825732265
147,H04208-04-01,1163001108.0,1,1,2014,3,3,1.085526134477244
148,H04208-04-02,2116300110803.0,1,0,2014,3,3,1.085526134477244
149,H04209-04-01,1163001109.0,1,0,2014,3,3,1.085526134477244
150,H04210-04-01,1163001110.0,1,0,2013,10,3,1.0757810432021624
151,H04501-04-01,1051000301.0,1,1,2013,12,2,1.0700411330335953
152,H04505-04-01,1051000305.0,1,1,2014,6,2,1.0753197970037849
153,H04508-04-02,,1,1,2014,6,2,1.0753197970037849
154,H04508-04-03,,1,1,2014,6,2,1.0753197970037849
155,H04508-04-04,,1,1,2014,10,1,1.0948123174730158
156,H04509-04-01,1051000309.0,1,0,2014,6,2,1.0753197970037849
157,H04602-04-01,1053000402.0,1,0,2014,4,2,1.0965546293128212
158,H04603-04-01,1053000403.0,1,0,2014,4,2,1.0965546293128212
159,H04604-04-01,1053000404.0,1,0,2013,10,2,1.0757810432021624
160,H04606-04-01,1053000406.0,1,0,2014,4,2,1.0965546293128212
161,H04606-04-02,105300040602.0,1,0,2014,4,2,1.0965546293128212
162,H04607-04-01,1053000407.0,1,0,2013,10,2,1.0757810432021624
163,H04608-04-01,1053000408.0,1,0,2013,10,2,1.0757810432021624
164,H04609-04-01,1053000409.0,1,0,2013,10,2,1.0757810432021624
165,H04610-04-01,1053000410.0,1,0,2013,10,2,1.0757810432021624
166,H04610-04-02,,1,0,2013,10,2,1.0757810432021624
